id,dupe,S or P?,6 Cluster,8 Cluster,Prop,authors,A,R,N,D,C,E,Q,G,H,I,L,K,M,F,P,S,T,W,Y,V,Key,Properties
148,FALSE,P,h,h,Fraction of site occupied by water ,"Krigbaum-Komoriya, 1979",0.28,0.34,0.31,0.33,0.11,0.37,0.39,0.28,0.23,0.12,0.16,0.59,0.08,0.1,0.46,0.27,0.26,0.15,0.25,0.22,KRIW790102,"Fraction of site occupied by water (Krigbaum-Komoriya, 1979)"
150,FALSE,P,h,h,Hydropathy index ,"Kyte-Doolittle, 1982",1.8,-4.5,-3.5,-3.5,2.5,-3.5,-3.5,-0.4,-3.2,4.5,3.8,-3.9,1.9,2.8,-1.6,-0.8,-0.7,-0.9,-1.3,4.2,KYTJ820101,"Hydropathy index (Kyte-Doolittle, 1982)"
152,FALSE,P,h,h,Hydrophobic parameter ,"Levitt, 1976",-0.5,3,0.2,2.5,-1,2.5,0.2,0,-0.5,-1.8,-1.8,3,-1.3,-2.5,-1.4,0.3,-0.4,-3.4,-2.3,-1.5,LEVM760101,"Hydrophobic parameter (Levitt, 1976)"
177,FALSE,P,h,h,"Retention coefficient in HPLC, pH7.4 ","Meek, 1980",0.5,0.8,0.8,-8.2,-6.8,-16.9,-4.8,0,-3.5,13.9,8.8,0.1,4.8,13.2,6.1,1.2,2.7,14.9,6.1,2.7,MEEJ800101,"Retention coefficient in HPLC, pH7.4 (Meek, 1980)"
178,FALSE,P,h,h,"Retention coefficient in HPLC, pH2.1 ","Meek, 1980",-0.1,-4.5,-1.6,-2.8,-2.2,-7.5,-2.5,-0.5,0.8,11.8,10,-3.2,7.1,13.9,8,-3.7,1.5,18.1,8.2,3.3,MEEJ800102,"Retention coefficient in HPLC, pH2.1 (Meek, 1980)"
179,FALSE,P,h,h,Retention coefficient in NaClO4 ,"Meek-Rossetti, 1981",1.1,-0.4,-4.2,-1.6,7.1,0.7,-2.9,-0.2,-0.7,8.5,11,-1.9,5.4,13.4,4.4,-3.2,-1.7,17.1,7.4,5.9,MEEJ810101,"Retention coefficient in NaClO4 (Meek-Rossetti, 1981)"
180,FALSE,P,h,h,Retention coefficient in NaH2PO4 ,"Meek-Rossetti, 1981",1,-2,-3,-0.5,4.6,1.1,-2,0.2,-2.2,7,9.6,-3,4,12.6,3.1,-2.9,-0.6,15.1,6.7,4.6,MEEJ810102,"Retention coefficient in NaH2PO4 (Meek-Rossetti, 1981)"
200,FALSE,P,h,h,Ratio of average and computed composition ,"Nakashima et al., 1990",1.61,0.4,0.73,0.75,0.37,1.5,0.61,3.12,0.46,1.61,1.37,0.62,1.59,1.24,0.67,0.68,0.92,1.63,0.67,1.3,NAKH900113,"Ratio of average and computed composition (Nakashima et al., 1990)"
221,FALSE,P,h,h,Optimized side chain interaction parameter ,"Oobatake et al., 1985",4.55,5.97,5.56,2.85,-0.78,5.16,4.15,9.14,4.48,2.1,3.24,10.68,2.18,4.37,5.14,6.78,8.6,1.97,2.4,3.81,OOBM850105,"Optimized side chain interaction parameter (Oobatake et al., 1985)"
238,FALSE,P,h,h,HPLC parameter ,"Parker et al., 1986",2.1,4.2,7,10,1.4,7.8,6,5.7,2.1,-8,-9.2,5.7,-4.2,-9.2,2.1,6.5,5.2,-10,-1.9,-3.7,PARJ860101,"HPLC parameter (Parker et al., 1986)"
240,FALSE,P,h,h,Surrounding hydrophobicity in folded form ,"Ponnuswamy et al., 1980",12.28,11.49,11,10.97,14.93,11.19,11.28,12.01,12.84,14.77,14.1,10.8,14.33,13.43,11.19,11.26,11.65,12.95,13.29,15.07,PONP800101,"Surrounding hydrophobicity in folded form (Ponnuswamy et al., 1980)"
243,FALSE,P,h,h,Surrounding hydrophobicity in alpha-helix ,"Ponnuswamy et al., 1980",13.65,11.28,12.24,10.98,14.49,12.55,11.3,15.36,11.59,14.63,14.01,11.96,13.4,14.08,11.51,11.26,13,12.06,12.64,12.88,PONP800104,"Surrounding hydrophobicity in alpha-helix (Ponnuswamy et al., 1980)"
244,FALSE,P,h,h,Surrounding hydrophobicity in beta-sheet ,"Ponnuswamy et al., 1980",14.6,13.24,11.79,13.78,15.9,13.59,12.02,14.18,15.35,14.1,16.49,13.28,16.23,14.18,14.1,13.36,14.5,13.9,14.76,16.3,PONP800105,"Surrounding hydrophobicity in beta-sheet (Ponnuswamy et al., 1980)"
245,FALSE,P,h,h,Surrounding hydrophobicity in turn ,"Ponnuswamy et al., 1980",10.67,11.05,10.85,10.21,14.15,11.71,11.71,10.95,12.07,12.95,13.07,9.93,15,13.27,10.62,11.18,10.53,11.41,11.52,13.86,PONP800106,"Surrounding hydrophobicity in turn (Ponnuswamy et al., 1980)"
248,FALSE,P,h,h,Intercept in regression analysis ,"Prabhakaran-Ponnuswamy, 1982",0.305,0.227,0.322,0.335,0.339,0.282,0.306,0.352,0.215,0.278,0.262,0.391,0.28,0.195,0.346,0.326,0.251,0.291,0.293,0.291,PRAM820101,"Intercept in regression analysis (Prabhakaran-Ponnuswamy, 1982)"
251,TRUE,P,h,h,Hydrophobicity ,"Prabhakaran, 1990",-6.7,51.5,20.1,38.5,-8.4,34.3,17.2,-4.2,12.6,-13,-11.7,36.8,-14.2,-15.5,0.8,-2.5,-5,-7.9,2.9,-10.9,PRAM900101,"Hydrophobicity (Prabhakaran, 1990)"
313,FALSE,P,h,h,Transfer free energy from chx to wat ,"Radzicka-Wolfenden, 1988",1.81,-14.92,-6.64,-8.72,1.28,-6.81,-5.54,0.94,-4.66,4.92,4.92,-5.55,2.35,2.98,0,-3.4,-2.57,2.33,-0.14,4.04,RADA880101,"Transfer free energy from chx to wat (Radzicka-Wolfenden, 1988)"
314,FALSE,P,h,h,Transfer free energy from oct to wat ,"Radzicka-Wolfenden, 1988",0.52,-1.32,-0.01,0,0,-0.79,-0.07,0,0.95,2.04,1.76,0.08,1.32,2.09,0,0.04,0.27,2.51,1.63,1.18,RADA880102,"Transfer free energy from oct to wat (Radzicka-Wolfenden, 1988)"
315,FALSE,P,h,h,Transfer free energy from vap to chx ,"Radzicka-Wolfenden, 1988",0.13,-5,-3.04,-2.23,-2.52,-3.43,-3.84,1.45,-5.61,-2.77,-2.64,-3.97,-3.83,-3.74,0,-1.66,-2.31,-8.21,-5.97,-2.05,RADA880103,"Transfer free energy from vap to chx (Radzicka-Wolfenden, 1988)"
316,FALSE,P,h,h,Transfer free energy from chx to oct ,"Radzicka-Wolfenden, 1988",1.29,-13.6,-6.63,0,0,-6.02,-5.47,0.94,-5.61,2.88,3.16,-5.63,1.03,0.89,0,-3.44,-2.84,-0.18,-1.77,2.86,RADA880104,"Transfer free energy from chx to oct (Radzicka-Wolfenden, 1988)"
317,FALSE,P,h,h,Transfer free energy from vap to oct ,"Radzicka-Wolfenden, 1988",1.42,-18.6,-9.67,0,0,-9.45,-9.31,2.39,-11.22,0.11,0.52,-9.6,-2.8,-2.85,0,-5.1,-5.15,-8.39,-7.74,0.81,RADA880105,"Transfer free energy from vap to oct (Radzicka-Wolfenden, 1988)"
354,FALSE,P,h,h,"Side chain hydropathy, uncorrected for solvation ","Roseman, 1988",-0.67,12.1,7.23,8.72,-0.34,7.35,6.39,0,3.82,-3.02,-3.02,6.13,-1.3,-3.24,-1.75,4.35,3.86,-2.86,0.98,-2.18,ROSM880101,"Side chain hydropathy, uncorrected for solvation (Roseman, 1988)"
355,FALSE,P,h,h,"Side chain hydropathy, corrected for solvation ","Roseman, 1988",-0.67,3.89,2.27,1.57,-2,1.78,2.12,0,1.09,-3.02,-3.02,2.46,-1.67,-3.24,-1.75,0.1,-0.42,-2.86,0.98,-2.18,ROSM880102,"Side chain hydropathy, corrected for solvation (Roseman, 1988)"
359,FALSE,P,h,h,Principal component II ,"Sneath, 1966",0.33,-0.176,-0.233,-0.371,0.074,-0.409,-0.254,0.37,-0.078,0.149,0.129,-0.075,-0.092,-0.011,0.37,0.022,0.136,-0.011,-0.138,0.245,SNEP660102,"Principal component II (Sneath, 1966)"
364,FALSE,P,h,h,Optimal matching hydrophobicity ,"Sweet-Eisenberg, 1983",-0.4,-0.59,-0.92,-1.31,0.17,-1.22,-0.91,-0.67,-0.64,1.25,1.22,-0.67,1.02,1.92,-0.49,-0.55,-0.28,0.5,1.67,0.91,SWER830101,"Optimal matching hydrophobicity (Sweet-Eisenberg, 1983)"
380,FALSE,P,h,h,Transfer free energy to lipophilic phase ,"von Heijne-Blomberg, 1979",-12.04,39.23,4.25,23.22,3.95,16.81,2.16,-7.85,6.28,-18.32,-17.79,9.71,-8.86,-21.98,5.82,-1.54,-4.15,-16.19,-1.51,-16.22,VHEG790101,"Transfer free energy to lipophilic phase (von Heijne-Blomberg, 1979)"
389,FALSE,P,h,h,Principal property value z1 ,"Wold et al., 1987",0.07,2.88,3.22,3.64,0.71,3.08,2.18,2.23,2.41,-4.44,-4.19,2.84,-2.49,-4.92,-1.22,1.96,0.92,-4.75,-1.39,-2.69,WOLS870101,"Principal property value z1 (Wold et al., 1987)"
392,FALSE,P,h,h,"Unfolding Gibbs energy in water, pH7.0 ","Yutani et al., 1987",8.5,0,8.2,8.5,11,8.8,6.3,7.1,10.1,16.8,15,7.9,13.3,11.2,8.2,7.4,8.8,9.9,8.8,12,YUTK870101,"Unfolding Gibbs energy in water, pH7.0 (Yutani et al., 1987)"
393,FALSE,P,h,h,"Unfolding Gibbs energy in water, pH9.0 ","Yutani et al., 1987",6.8,0,6.2,7,8.3,4.9,8.5,6.4,9.2,10,12.2,7.5,8.4,8.3,6.9,8,7,5.7,6.8,9.4,YUTK870102,"Unfolding Gibbs energy in water, pH9.0 (Yutani et al., 1987)"
394,FALSE,P,h,h,"Activation Gibbs energy of unfolding, pH7.0 ","Yutani et al., 1987",18.08,0,17.47,17.36,18.17,18.16,17.93,18.24,18.49,18.62,18.6,17.96,18.11,17.3,18.16,17.57,17.54,17.19,17.99,18.3,YUTK870103,"Activation Gibbs energy of unfolding, pH7.0 (Yutani et al., 1987)"
395,FALSE,P,h,h,"Activation Gibbs energy of unfolding, pH9.0 ","Yutani et al., 1987",18.56,0,18.24,17.94,17.84,17.97,18.51,18.57,18.64,19.21,19.01,18.36,18.49,17.95,18.77,18.06,17.71,16.87,18.23,18.98,YUTK870104,"Activation Gibbs energy of unfolding, pH9.0 (Yutani et al., 1987)"
433,FALSE,P,h,h,Free energies of transfer of AcWl-X-LL peptides from bilayer interfaceto  water ,"Wimley-White, 1996",4.08,3.91,3.83,3.02,4.49,2.23,3.67,4.24,4.08,4.52,4.81,3.77,4.48,5.38,3.8,4.12,4.11,6.1,5.19,4.18,WIMW960101,"Free energies of transfer of AcWl-X-LL peptides from bilayer interfaceto  water (Wimley-White, 1996)"
445,TRUE,P,h,h,Hydropathy scale based on self-information values in the two-state model  ,5%  accessibility,58,-184,-93,-97,116,-131,-139,-11,-73,107,95,-24,78,92,-79,-34,-7,59,-11,100,NADH010101,"Hydropathy scale based on self-information values in the two-state model (5%  accessibility) (Naderi-Manesh et al., 2001)"
446,TRUE,P,h,h,Hydropathy scale based on self-information values in the two-state model  ,9%  accessibility,51,-144,-84,-78,137,-115,-128,-13,-55,106,103,-205,73,108,-79,-26,-3,69,11,108,NADH010102,"Hydropathy scale based on self-information values in the two-state model (9%  accessibility) (Naderi-Manesh et al., 2001)"
447,TRUE,P,h,h,Hydropathy scale based on self-information values in the two-state model  ,16%  accessibility,41,-109,-74,-47,169,-90,-104,-18,-35,104,103,-148,77,128,-81,-31,10,102,36,116,NADH010103,"Hydropathy scale based on self-information values in the two-state model (16%  accessibility) (Naderi-Manesh et al., 2001)"
448,TRUE,P,h,h,Hydropathy scale based on self-information values in the two-state model  ,20%  accessibility,32,-95,-73,-29,182,-74,-95,-22,-25,106,104,-124,82,132,-82,-34,20,118,44,113,NADH010104,"Hydropathy scale based on self-information values in the two-state model (20%  accessibility) (Naderi-Manesh et al., 2001)"
449,TRUE,P,h,h,Hydropathy scale based on self-information values in the two-state model  ,25%  accessibility,24,-79,-76,0,194,-57,-87,-28,-31,102,103,-9,90,131,-85,-36,34,116,43,111,NADH010105,"Hydropathy scale based on self-information values in the two-state model (25%  accessibility) (Naderi-Manesh et al., 2001)"
450,TRUE,P,h,h,Hydropathy scale based on self-information values in the two-state model  ,36%  accessibility,5,-57,-77,45,224,-8,-67,-47,-50,83,82,-38,83,117,-103,-41,79,130,27,117,NADH010106,"Hydropathy scale based on self-information values in the two-state model (36%  accessibility) (Naderi-Manesh et al., 2001)"
451,TRUE,P,h,h,Hydropathy scale based on self-information values in the two-state model  ,50%  accessibility,-2,-41,-97,248,329,117,-37,-66,-70,28,36,115,62,120,-132,-52,174,179,-7,114,NADH010107,"Hydropathy scale based on self-information values in the two-state model (50%  accessibility) (Naderi-Manesh et al., 2001)"
457,FALSE,P,c,h,Composition of amino acids in membrane proteins  ,percent,8.1,4.6,3.7,3.8,2,4.6,3.1,7,2,6.7,11,4.4,2.8,5.6,4.7,7.3,5.6,1.8,3.3,7.7,CEDJ970103,"Composition of amino acids in membrane proteins (percent) (Cedano etal.,  1997)"
486,FALSE,P,h,h,Hydrophobicity scales ,"Ponnuswamy, 1993",0.85,0.2,-0.48,-1.1,2.1,-0.79,-0.42,0,0.22,3.14,1.99,-1.19,1.42,1.69,-1.14,-0.52,-0.08,1.76,1.37,2.53,PONP930101,"Hydrophobicity scales (Ponnuswamy, 1993)"
487,FALSE,P,h,h,"Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/MeCN/H2O ",Wilceet  al. 1995,0.06,-0.85,0.25,-0.2,0.49,-0.1,0.31,0.21,-2.24,3.48,3.5,-1.62,0.21,4.8,0.71,-0.62,0.65,2.29,1.89,1.59,WILM950101,"Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/MeCN/H2O (Wilceet  al. 1995)"
488,FALSE,P,h,h,"Hydrophobicity coefficient in RP-HPLC, C8 with 0.1%TFA/MeCN/H2O ",Wilceet al.  1995,2.62,1.26,-1.27,-2.84,0.73,-0.45,-1.69,-1.15,-0.74,4.38,6.57,-2.78,-3.12,9.14,-0.12,-1.39,1.81,5.91,1.39,2.3,WILM950102,"Hydrophobicity coefficient in RP-HPLC, C8 with 0.1%TFA/MeCN/H2O (Wilceet al.  1995)"
489,FALSE,P,h,h,"Hydrophobicity coefficient in RP-HPLC, C4 with 0.1%TFA/MeCN/H2O ",Wilceet al.  1995,-1.64,-3.28,0.83,0.7,9.3,1.18,-0.04,-1.85,7.17,3.02,0.83,-2.36,4.26,-1.36,3.12,1.59,2.31,2.61,2.37,0.52,WILM950103,"Hydrophobicity coefficient in RP-HPLC, C4 with 0.1%TFA/MeCN/H2O (Wilceet al.  1995)"
490,FALSE,P,h,h,"Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/2-PrOH/MeCN/H2O",Wilce et al. 1995,-2.34,1.6,2.81,-0.48,5.03,1.3,0.16,-1.06,-3,7.26,1.09,1.56,0.62,2.57,-0.15,1.93,0.19,3.59,-2.58,2.06,WILM950104,"Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/2-PrOH/MeCN/H2O(Wilce et al. 1995)"
491,FALSE,P,h,h,Hydrophilicity scale ,"Kuhn et al., 1995",0.78,1.58,1.2,1.35,0.55,1.45,1.19,0.68,0.99,0.47,0.56,1.1,0.66,0.47,0.69,1,1.05,0.7,1,0.51,KUHL950101,"Hydrophilicity scale (Kuhn et al., 1995)"
492,FALSE,P,h,h,Retention coefficient at pH 2 ,"Guo et al., 1986",25,-7,-7,2,32,14,0,-2,-26,91,100,-26,68,100,25,-2,7,109,56,62,GUOD860101,"Retention coefficient at pH 2 (Guo et al., 1986)"
493,FALSE,P,h,h,Modified Kyte-Doolittle hydrophobicity scale ,"Juretic et al., 1998",1.1,-5.1,-3.5,-3.6,2.5,-3.2,-3.68,-0.64,-3.2,4.5,3.8,-4.11,1.9,2.8,-1.9,-0.5,-0.7,-0.46,-1.3,4.2,JURD980101,"Modified Kyte-Doolittle hydrophobicity scale (Juretic et al., 1998)"
518,FALSE,P,h,h,Hydrophobicity-related index ,"Kidera et al., 1985",-0.27,1.87,0.81,0.81,-1.05,1.17,1.1,-0.16,0.28,-0.77,-1.1,1.7,-0.73,-1.43,-0.75,0.42,0.63,-1.57,-0.56,-0.4,KIDA850101,"Hydrophobicity-related index (Kidera et al., 1985)"
525,FALSE,P,o,h,Weights from the IFH scale ,"Jacobs-White, 1989",0.18,-5.4,-1.3,-2.36,0.27,-2.1,-1.22,0.09,-1.48,0.37,0.41,-2.53,0.44,0.5,-0.2,-0.4,-0.34,-0.01,-0.08,0.32,JACR890101,"Weights from the IFH scale (Jacobs-White, 1989)"
526,FALSE,P,h,h,"Hydrophobicity index, 3.0 pH ","Cowan-Whittaker, 1990",0.42,-1.56,-1.03,-0.51,0.84,-0.37,-0.96,0,-2.28,1.81,1.8,-2.03,1.18,1.74,0.86,-0.64,-0.26,1.46,0.51,1.34,COWR900101,"Hydrophobicity index, 3.0 pH (Cowan-Whittaker, 1990)"
527,FALSE,P,h,h,Scaled side chain hydrophobicity values ,"Black-Mould, 1991",0.616,0,0.236,0.028,0.68,0.043,0.251,0.501,0.165,0.943,0.943,0.283,0.738,1,0.711,0.359,0.45,0.878,0.88,0.825,BLAS910101,"Scaled side chain hydrophobicity values (Black-Mould, 1991)"
528,FALSE,P,h,h,Hydrophobicity scale from native protein structures ,"Casari-Sippl, 1992",0.2,-0.7,-0.5,-1.4,1.9,-1.3,-1.1,-0.1,0.4,1.4,0.5,-1.6,0.5,1,-1,-0.7,-0.4,1.6,0.5,0.7,CASG920101,"Hydrophobicity scale from native protein structures (Casari-Sippl, 1992)"
529,FALSE,P,h,h,NNEIG index ,"Cornette et al., 1987",50.76,48.66,45.8,43.17,58.74,43.48,46.09,50.27,49.33,57.3,53.89,42.92,52.75,53.45,45.39,47.24,49.26,53.59,51.79,56.12,CORJ870101,"NNEIG index (Cornette et al., 1987)"
530,FALSE,P,o,h,SWEIG index ,"Cornette et al., 1987",-0.414,-0.584,-0.916,-1.31,0.162,-1.218,-0.905,-0.684,-0.63,1.237,1.215,-0.67,1.02,1.938,-0.503,-0.563,-0.289,0.514,1.699,0.899,CORJ870102,"SWEIG index (Cornette et al., 1987)"
531,FALSE,P,h,h,PRIFT index ,"Cornette et al., 1987",-0.96,0.75,-1.94,-5.68,4.54,-3.86,-5.3,-1.28,-0.62,5.54,6.81,-5.62,4.76,5.06,-4.47,-1.92,-3.99,0.21,3.34,5.39,CORJ870103,"PRIFT index (Cornette et al., 1987)"
532,FALSE,P,h,h,PRILS index ,"Cornette et al., 1987",-0.26,0.08,-0.46,-1.3,0.83,-0.73,-0.83,-0.4,-0.18,1.1,1.52,-1.01,1.09,1.09,-0.62,-0.55,-0.71,-0.13,0.69,1.15,CORJ870104,"PRILS index (Cornette et al., 1987)"
533,FALSE,P,h,h,ALTFT index ,"Cornette et al., 1987",-0.73,-1.03,-5.29,-6.13,0.64,-2.9,-0.96,-2.67,3.03,5.04,4.91,-5.99,3.34,5.2,-4.32,-3,-1.91,0.51,2.87,3.98,CORJ870105,"ALTFT index (Cornette et al., 1987)"
534,FALSE,P,h,h,ALTLS index ,"Cornette et al., 1987",-1.35,-3.89,-10.96,-11.88,4.37,-4.56,-1.34,-5.82,6.54,10.93,9.88,-11.92,7.47,11.35,-10.86,-6.21,-4.83,1.8,7.61,8.2,CORJ870106,"ALTLS index (Cornette et al., 1987)"
535,FALSE,P,h,h,TOTFT index ,"Cornette et al., 1987",-0.56,-0.26,-2.87,-4.31,1.78,-2.35,-2.31,-1.35,0.81,3.83,4.09,-4.08,3.11,3.67,-3.22,-1.85,-1.97,-0.11,2.17,3.31,CORJ870107,"TOTFT index (Cornette et al., 1987)"
536,FALSE,P,h,h,TOTLS index ,"Cornette et al., 1987",1.37,1.33,6.29,8.93,-4.47,4.04,3.88,3.39,-1.65,-7.92,-8.68,7.7,-7.13,-7.96,6.25,4.08,4.02,0.79,-4.73,-6.94,CORJ870108,"TOTLS index (Cornette et al., 1987)"
543,TRUE,P,h,h,Hydrophobicity index ,"Fasman, 1989",-0.21,2.11,0.96,1.36,-6.04,2.3,1.52,0,-1.23,-4.81,-4.68,3.88,-3.66,-4.65,0.75,1.74,0.78,-3.32,-1.01,-3.5,FASG890101,"Hydrophobicity index (Fasman, 1989)"
113,FALSE,P,h,i,"Hydration number , Cited by Charton-Charton ","Hopfinger, 1971",1,2.3,2.2,6.5,0.1,6.2,2.1,1.1,2.8,0.8,0.8,5.3,0.7,1.4,0.9,1.7,1.5,1.9,2.1,0.9,HOPA770101,"Hydration number (Hopfinger, 1971), Cited by Charton-Charton (1982)"
176,FALSE,P,p,i,"Refractivity , Cited by Jones ","McMeekin et al., 1964",4.34,26.66,13.28,12,35.77,17.26,17.56,0,21.81,19.06,18.78,21.29,21.64,29.4,10.93,6.35,11.01,42.53,31.53,13.92,MCMT640101,"Refractivity (McMeekin et al., 1964), Cited by Jones (1975)"
249,FALSE,P,o,i,Slope in regression analysis x 1.0E1 ,"Prabhakaran-Ponnuswamy, 1982",0.175,0.083,0.09,0.14,0.074,0.135,0.093,0.201,0.125,0.1,0.104,0.058,0.054,0.104,0.136,0.155,0.152,0.092,0.081,0.096,PRAM820102,"Slope in regression analysis x 1.0E1 (Prabhakaran-Ponnuswamy, 1982)"
250,FALSE,P,o,i,Correlation coefficient in regression analysis ,"Prabhakaran-Ponnuswamy,1982",0.687,0.59,0.489,0.632,0.263,0.669,0.527,0.67,0.594,0.564,0.541,0.407,0.328,0.577,0.6,0.692,0.713,0.632,0.495,0.529,PRAM820103,"Correlation coefficient in regression analysis (Prabhakaran-Ponnuswamy,1982)"
311,TRUE,P,o,i,Value of theta ,i,17.05,21.25,34.81,19.27,28.84,20.12,15.42,38.14,23.07,16.66,10.89,16.46,20.61,16.26,23.94,19.95,18.92,23.36,26.49,17.06,RACS820113,"Value of theta(i) (Rackovsky-Scheraga, 1982)"
351,FALSE,P,h,i,Hydration free energy ,"Robson-Osguthorpe, 1979",-1,0.3,-0.7,-1.2,2.1,-0.7,-0.1,0.3,1.1,4,2,-0.9,1.8,2.8,0.4,-1.2,-0.5,3,2.1,1.4,ROBB790101,"Hydration free energy (Robson-Osguthorpe, 1979)"
379,FALSE,P,h,i,Bitterness ,"Venanzi, 1984",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,VENT840101,"Bitterness (Venanzi, 1984)"
388,FALSE,P,h,i,Hydration potential ,"Wolfenden et al., 1981",1.94,-19.92,-9.68,-10.95,-1.24,-10.2,-9.38,2.39,-10.27,2.15,2.28,-9.52,-1.48,-0.76,-3.68,-5.06,-4.88,-5.88,-6.11,1.99,WOLR810101,"Hydration potential (Wolfenden et al., 1981)"
428,FALSE,P,a,i,Free energy in alpha-helical conformation ,"Munoz-Serrano, 1994",0.423,0.503,0.906,0.87,0.877,0.167,0.594,1.162,0.802,0.566,0.494,0.615,0.444,0.706,1.945,0.928,0.884,0.69,0.778,0.706,MUNV940101,"Free energy in alpha-helical conformation (Munoz-Serrano, 1994)"
429,FALSE,P,a,i,Free energy in alpha-helical region ,"Munoz-Serrano, 1994",0.619,0.753,1.089,0.932,1.107,0.675,0.77,1.361,1.034,0.876,0.74,0.784,0.736,0.968,1.78,0.969,1.053,0.91,1.009,0.939,MUNV940102,"Free energy in alpha-helical region (Munoz-Serrano, 1994)"
437,FALSE,P,o,i,p-Values of mesophilic proteins based on the distributions of B values,"Parthasarathy-Murthy, 2000",0.343,0.353,0.409,0.429,0.319,0.405,0.395,0.389,0.307,0.296,0.287,0.429,0.293,0.292,0.432,0.416,0.362,0.268,0.22,0.307,PARS000101,"p-Values of mesophilic proteins based on the distributions of B values(Parthasarathy-Murthy, 2000)"
438,FALSE,P,o,i,p-Values of thermophilic proteins based on the distributions of B values  ,"Parthasarathy-Murthy, 2000",0.32,0.327,0.384,0.424,0.198,0.514,0.436,0.374,0.299,0.306,0.34,0.446,0.313,0.314,0.354,0.376,0.339,0.291,0.287,0.294,PARS000102,"p-Values of thermophilic proteins based on the distributions of B values  (Parthasarathy-Murthy, 2000)"
439,FALSE,P,c,i,Distribution of amino acid residues in the 18 non-redundant familiesofthermophilic proteins ,"Kumar et al., 2000",8.9,4.6,4.4,6.3,0.6,6.9,2.8,9.4,2.2,7,7.4,6.1,2.3,3.3,4.2,4,5.7,1.3,4.5,8.2,KUMS000101,"Distribution of amino acid residues in the 18 non-redundant familiesofthermophilic proteins (Kumar et al., 2000)"
440,FALSE,P,c,i,Distribution of amino acid residues in the 18 non-redundant familiesofmesophilic proteins ,"Kumar et al., 2000",9.2,3.6,5.1,6,1,6,2.9,9.4,2.1,6,7.7,6.5,2.4,3.4,4.2,5.5,5.7,1.2,3.7,8.2,KUMS000102,"Distribution of amino acid residues in the 18 non-redundant familiesofmesophilic proteins (Kumar et al., 2000)"
441,FALSE,P,c,i,Distribution of amino acid residues in the alpha-helices in thermophilic  proteins ,"Kumar et al., 2000",14.1,5.5,3.2,5.7,0.1,8.8,3.7,4.1,2,7.1,9.1,7.7,3.3,5,0.7,3.9,4.4,1.2,4.5,5.9,KUMS000103,"Distribution of amino acid residues in the alpha-helices in thermophilic  proteins (Kumar et al., 2000)"
442,FALSE,P,c,i,Distribution of amino acid residues in the alpha-helices in mesophilicproteins ,"Kumar et al., 2000",13.4,3.9,3.7,4.6,0.8,7.8,4.8,4.6,3.3,6.5,10.6,7.5,3,4.5,1.3,3.8,4.6,1,3.3,7.1,KUMS000104,"Distribution of amino acid residues in the alpha-helices in mesophilicproteins (Kumar et al., 2000)"
510,FALSE,P,c,i,The relative stability scale extracted from mutation experiments ,"Zhou-Zhou,  2004",1.79,3.2,2.83,2.33,2.22,2.52,2.37,0.7,3.06,4.59,4.72,2.5,3.91,4.84,2.45,1.82,2.45,5.64,4.46,3.67,ZHOH040102,"The relative stability scale extracted from mutation experiments (Zhou-Zhou,  2004)"
515,FALSE,P,h,i,"Hydrostatic pressure asymmetry index, PAI ","Di Giulio, 2005",1.076,1.361,1.056,1.29,0.753,1.118,0.729,1.346,0.985,0.926,1.054,1.105,0.974,0.869,0.82,1.342,0.871,0.666,0.531,1.131,DIGM050101,"Hydrostatic pressure asymmetry index, PAI (Di Giulio, 2005)"
537,FALSE,P,h,i,Relative partition energies derived by the Bethe approximation  ,"Miyazawa-Jernigan, 1999",-0.02,0.44,0.63,0.72,-0.96,0.74,0.56,0.38,0,-1.89,-2.29,1.01,-1.36,-2.22,0.47,0.55,0.25,-1.28,-0.88,-1.34,MIYS990101,"Relative partition energies derived by the Bethe approximation  (Miyazawa-Jernigan, 1999)"
546,FALSE,P,o,i,Total weighted degree of the graph  ,obtained by adding all the weightsof all the vertices,2,12,8,8,4,10,10,0,14,8,8,10,8,14,8,4,6,24,18,6,KARS160103,"Total weighted degree of the graph (obtained by adding all the weightsof all the vertices) (Karkbara-Knisley, 2016)"
547,FALSE,P,o,i,Weighted domination number ,"Karkbara-Knisley, 2016",1,6,4,4,2,5,4,1,6,4,4,4,4,6,4,2,3,8,7,3,KARS160104,"Weighted domination number (Karkbara-Knisley, 2016)"
551,FALSE,P,o,i,Average weighted degree  ,"total degree, divided by the number of vertices",1,1.5,1.6,1.6,1.333,1.667,1.667,0,2,1.6,1.6,1.667,1.6,1.75,2,1.333,1.5,2.182,2,1.5,KARS160108,"Average weighted degree (total degree, divided by the number of vertices) (Karkbara-Knisley, 2016)"
